school_id,school,pathway,division,sector,class_year,grade11_school_year,nmsf_count,nmsf_status,nmsf_source_title,nmsf_source_url,nmsf_source_date,nmsf_source_hash,nmsf_source_scope,grade11_enrollment,enrollment_status,enrollment_source_title,enrollment_source_url,enrollment_source_date,enrollment_source_hash,enrollment_source_rows,nmsf_per_100_grade11,notes
broad_run_high_school,Broad Run High School,Loudoun,LCPS,Public,2024,2022-23,,source_pending,,,,,,407,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,sheet6_row_012,,
broad_run_high_school,Broad Run High School,Loudoun,LCPS,Public,2025,2023-24,2,verified_count,Seniors At Loudoun County Schools Named National Merit Semifinalists,https://patch.com/virginia/ashburn/seniors-loudoun-county-schools-named-national-merit-semifinalists,2024-09-11,b5e4fb749ced03ac49a0266ee2279c3301216ffe52da64905a13d431fa156b49,Loudoun County schools,394,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,sheet6_row_012,0.507614,
broad_run_high_school,Broad Run High School,Loudoun,LCPS,Public,2026,2024-25,3,verified_count,Sixty-nine LCPS Students Named 2026 National Merit Semifinalists,https://www.lcps.org/o/lcps/article/2436621,2025-09-22,dee8196ee58b69e1fef994a65cb0b34b27f2b8fd0cb0a8fe79245d0438716bc7,LCPS high schools,,source_year_not_in_seed,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,,
dominion_high_school,Dominion High School,Loudoun,LCPS,Public,2019,2017-18,,source_pending,,,,,,353,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,sheet6_row_017,,
dominion_high_school,Dominion High School,Loudoun,LCPS,Public,2020,2018-19,,source_pending,,,,,,409,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,sheet6_row_017,,
dominion_high_school,Dominion High School,Loudoun,LCPS,Public,2021,2019-20,,source_pending,,,,,,391,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,sheet6_row_017,,
dominion_high_school,Dominion High School,Loudoun,LCPS,Public,2022,2020-21,,source_pending,,,,,,362,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,sheet6_row_017,,
dominion_high_school,Dominion High School,Loudoun,LCPS,Public,2023,2021-22,,source_pending,,,,,,368,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,sheet6_row_017,,
dominion_high_school,Dominion High School,Loudoun,LCPS,Public,2024,2022-23,,source_pending,,,,,,337,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,sheet6_row_017,,
dominion_high_school,Dominion High School,Loudoun,LCPS,Public,2025,2023-24,2,verified_count,Seniors At Loudoun County Schools Named National Merit Semifinalists,https://patch.com/virginia/ashburn/seniors-loudoun-county-schools-named-national-merit-semifinalists,2024-09-11,b5e4fb749ced03ac49a0266ee2279c3301216ffe52da64905a13d431fa156b49,Loudoun County schools,396,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,sheet6_row_017,0.505051,
dominion_high_school,Dominion High School,Loudoun,LCPS,Public,2026,2024-25,3,verified_count,Sixty-nine LCPS Students Named 2026 National Merit Semifinalists,https://www.lcps.org/o/lcps/article/2436621,2025-09-22,dee8196ee58b69e1fef994a65cb0b34b27f2b8fd0cb0a8fe79245d0438716bc7,LCPS high schools,,source_year_not_in_seed,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,,
freedom_high_school_south_riding,Freedom High School (South Riding),Loudoun,LCPS,Public,2019,2017-18,,source_pending,,,,,,,ambiguous_source_name,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,sheet6_row_022;sheet6_row_023,,
